This dataset was obtained through the ICEH retriever, a data platform developed by the International Center for Equity in Health (https://www.equidade.org/retriever)
Database version: 2026-04
ISO,Country,Year,Final Year,Source,UNICEF Region,Indicator Code,Indicator,Reference,Strat,Level,Estimate,Standard Error,Sample Size
SOM,Somalia,2006,2006,MICS,Eastern & Southern Africa,bfcur6_11,Percentage of children who are currently breastfeeding,Age 6-11 months,subnational unit,South Central,84.2,2.2,370
SOM,Somalia,2006,2006,MICS,Eastern & Southern Africa,bfcur6_11,Percentage of children who are currently breastfeeding,Age 6-11 months,wealth deciles,D01,92.7,3.7,59
SOM,Somalia,2006,2006,MICS,Eastern & Southern Africa,bfcur6_11,Percentage of children who are currently breastfeeding,Age 6-11 months,wealth deciles,D02,80.8,5.2,55
SOM,Somalia,2006,2006,MICS,Eastern & Southern Africa,bfcur6_11,Percentage of children who are currently breastfeeding,Age 6-11 months,wealth deciles,D03,82.2,6.2,51
SOM,Somalia,2006,2006,MICS,Eastern & Southern Africa,bfcur6_11,Percentage of children who are currently breastfeeding,Age 6-11 months,wealth deciles,D04,92.2,3.1,67
SOM,Somalia,2006,2006,MICS,Eastern & Southern Africa,bfcur6_11,Percentage of children who are currently breastfeeding,Age 6-11 months,wealth deciles,D05,86.1,4.2,71
SOM,Somalia,2006,2006,MICS,Eastern & Southern Africa,bfcur6_11,Percentage of children who are currently breastfeeding,Age 6-11 months,wealth deciles,D06,81.6,5.1,66
SOM,Somalia,2006,2006,MICS,Eastern & Southern Africa,bfcur6_11,Percentage of children who are currently breastfeeding,Age 6-11 months,wealth deciles,D07,77.2,4.3,85
SOM,Somalia,2006,2006,MICS,Eastern & Southern Africa,bfcur6_11,Percentage of children who are currently breastfeeding,Age 6-11 months,wealth deciles,D08,71.5,5.3,89
SOM,Somalia,2006,2006,MICS,Eastern & Southern Africa,bfcur6_11,Percentage of children who are currently breastfeeding,Age 6-11 months,wealth deciles,D09,63.2,5.3,66
SOM,Somalia,2006,2006,MICS,Eastern & Southern Africa,bfcur6_11,Percentage of children who are currently breastfeeding,Age 6-11 months,wealth deciles,D10,74.0,7.7,44
SOM,Somalia,2006,2006,MICS,Eastern & Southern Africa,bfcur6_11,Percentage of children who are currently breastfeeding,Age 6-11 months,wealth quintiles,Q1,87.2,3.2,114
SOM,Somalia,2006,2006,MICS,Eastern & Southern Africa,bfcur6_11,Percentage of children who are currently breastfeeding,Age 6-11 months,wealth quintiles,Q2,88.1,3.3,118
SOM,Somalia,2006,2006,MICS,Eastern & Southern Africa,bfcur6_11,Percentage of children who are currently breastfeeding,Age 6-11 months,wealth quintiles,Q3,84.0,3.8,137
SOM,Somalia,2006,2006,MICS,Eastern & Southern Africa,bfcur6_11,Percentage of children who are currently breastfeeding,Age 6-11 months,wealth quintiles,Q4,74.5,3.4,174
SOM,Somalia,2006,2006,MICS,Eastern & Southern Africa,bfcur6_11,Percentage of children who are currently breastfeeding,Age 6-11 months,wealth quintiles,Q5,67.2,4.5,110
SOM,Somalia,2006,2006,MICS,Eastern & Southern Africa,bfcur6_11,Percentage of children who are currently breastfeeding,Age 6-11 months,woman's education,none,82.6,1.8,530
SOM,Somalia,2006,2006,MICS,Eastern & Southern Africa,bfcur6_11,Percentage of children who are currently breastfeeding,Age 6-11 months,woman's education,primary,69.8,4.9,109
SOM,Somalia,2006,2006,MICS,Eastern & Southern Africa,bfcur6_11,Percentage of children who are currently breastfeeding,Age 6-11 months,woman's education,secondary+,SS,SS,13
SOM,Somalia,2006,2006,MICS,Eastern & Southern Africa,bfcur6_11,Percentage of children who are currently breastfeeding,Age 6-11 months,woman's education (4 groups),none,82.6,1.8,530
SOM,Somalia,2006,2006,MICS,Eastern & Southern Africa,bfcur6_11,Percentage of children who are currently breastfeeding,Age 6-11 months,woman's education (4 groups),primary,69.8,4.9,109
SOM,Somalia,2006,2006,MICS,Eastern & Southern Africa,bfcur6_11,Percentage of children who are currently breastfeeding,Age 6-11 months,woman's education (4 groups),secondary,SS,SS,13
SOM,Somalia,2006,2006,MICS,Eastern & Southern Africa,bfcur6_11,Percentage of children who are currently breastfeeding,Age 6-11 months,woman's education (4 groups),higher,SS,SS,0
SOM,Somalia,2006,2006,MICS,Eastern & Southern Africa,cci,Composite coverage index,,area,urban,NA,NA,NA
SOM,Somalia,2006,2006,MICS,Eastern & Southern Africa,cci,Composite coverage index,,area,rural,NA,NA,NA
SOM,Somalia,2006,2006,MICS,Eastern & Southern Africa,cci,Composite coverage index,,national,all,NA,NA,NA
SOM,Somalia,2006,2006,MICS,Eastern & Southern Africa,cci,Composite coverage index,,subnational unit,Somaliland,NA,NA,NA
SOM,Somalia,2006,2006,MICS,Eastern & Southern Africa,cci,Composite coverage index,,subnational unit,Puntland,NA,NA,NA
SOM,Somalia,2006,2006,MICS,Eastern & Southern Africa,cci,Composite coverage index,,subnational unit,South Central,NA,NA,NA
SOM,Somalia,2006,2006,MICS,Eastern & Southern Africa,cci,Composite coverage index,,wealth deciles,D01,NA,NA,NA
SOM,Somalia,2006,2006,MICS,Eastern & Southern Africa,cci,Composite coverage index,,wealth deciles,D02,NA,NA,NA
SOM,Somalia,2006,2006,MICS,Eastern & Southern Africa,cci,Composite coverage index,,wealth deciles,D03,NA,NA,NA
SOM,Somalia,2006,2006,MICS,Eastern & Southern Africa,cci,Composite coverage index,,wealth deciles,D04,NA,NA,NA
